fold_energy,seed_match_count,seed_match_full,mirna_au_count,mirna_au_frac,count_matches,frac_matches,len_target_reg,longest_pairing,3p_mirna_match_count,seed_3p_diff,positive
-5.70,0,0,12,0.5714285714285714,5,0.23809523809523808,5,5,0,0,1
-22.30,6,1,11,0.5238095238095238,15,0.7142857142857143,18,12,3,3,1
-18.50,5,0,13,0.5909090909090909,10,0.45454545454545453,10,10,0,5,1
-16.90,4,0,11,0.5,14,0.6363636363636364,17,6,3,1,1
-12.70,2,0,6,0.3,14,0.7,19,8,6,-4,1
-13.40,4,0,12,0.631578947368421,8,0.42105263157894735,8,5,0,4,1
-9.20,5,0,10,0.5,13,0.65,18,6,3,2,1
-19.20,6,1,6,0.3,15,0.75,20,10,4,2,1
-21.50,4,0,8,0.36363636363636365,16,0.7272727272727273,23,15,4,0,1
-18.80,2,0,6,0.3333333333333333,12,0.6666666666666666,13,9,7,-5,1
-20.40,3,0,8,0.36363636363636365,12,0.5454545454545454,15,9,0,3,1
-6.30,1,0,8,0.4444444444444444,6,0.3333333333333333,6,6,1,0,1
-17.30,5,0,12,0.5454545454545454,9,0.4090909090909091,9,9,0,5,1
-24.90,4,0,10,0.45454545454545453,17,0.7727272727272727,23,17,5,-1,1
-20.40,6,1,11,0.5,10,0.45454545454545453,10,10,0,6,1
-20.00,6,1,9,0.4090909090909091,14,0.6363636363636364,14,7,7,-1,1
-12.10,3,0,11,0.5,18,0.8181818181818182,26,8,6,-3,1
-19.40,6,1,8,0.38095238095238093,11,0.5238095238095238,14,11,0,6,1
-27.70,5,0,8,0.38095238095238093,14,0.6666666666666666,17,10,3,2,1
-18.80,5,0,6,0.3,12,0.6,15,7,1,4,1
-17.90,3,0,8,0.42105263157894735,12,0.631578947368421,16,8,7,-4,1
-20.30,3,0,8,0.36363636363636365,10,0.45454545454545453,10,6,0,3,1
-20.30,3,0,6,0.2857142857142857,14,0.6666666666666666,16,6,5,-2,1
-24.20,6,1,8,0.34782608695652173,13,0.5652173913043478,18,7,0,6,1
-22.70,2,0,10,0.45454545454545453,12,0.5454545454545454,15,8,5,-3,1
-22.80,4,0,12,0.5714285714285714,13,0.6190476190476191,13,11,2,2,1
-8.20,4,0,9,0.4090909090909091,13,0.5909090909090909,26,5,2,2,1
-18.00,6,1,11,0.5,9,0.4090909090909091,11,6,0,6,1
